Brand,Family,Generation,Generation (Short),Artefact,Official Name,Category,Type,Release Date,Discontinued,Compatibility,Summary
Nintendo,Nintendo,NES,,Nintendo Entertainment System,Nintendo Entertainment System,Console,Device,1985-10-18,Yes,NES,The Nintendo Entertainment System is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,SNES,,Super Nintendo Entertainment System,Super Nintendo Entertainment System,Console,Device,1991-08-23,Yes,SNES,The Super Nintendo Entertainment System is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,Nintendo 64,,Nintendo 64,Nintendo 64,Console,Device,1996-06-23,Yes,Nintendo 64,The Nintendo 64 is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,GameCube,,Nintendo GameCube,Nintendo GameCube,Console,Device,2001-09-14,Yes,GameCube,The Nintendo GameCube is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,Wii,,Nintendo Wii,Nintendo Wii,Console,Device,2006-11-19,Yes,Wii,The Nintendo Wii is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,Wii U,,Nintendo Wii U,Nintendo Wii U,Console,Device,2012-11-18,Yes,Wii U,The Nintendo Wii U is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,Nintendo Switch,,Nintendo Switch,Nintendo Switch,Console,Device,2017-03-03,No,Nintendo Switch,The Nintendo Switch is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,Nintendo Switch,,Nintendo Switch Lite,Nintendo Switch Lite,Handheld,Device,2019-09-20,No,Nintendo Switch,The Nintendo Switch Lite is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,Nintendo Switch,,Nintendo Switch OLED,Nintendo Switch – OLED Model,Console,Device,2021-10-08,No,Nintendo Switch,The Nintendo Switch OLED is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,Game Boy,,Nintendo Game Boy,Nintendo Game Boy,Handheld,Device,1989-04-21,Yes,Game Boy,The Nintendo Game Boy is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,Game Boy Color,,Nintendo Game Boy Color,Nintendo Game Boy Color,Handheld,Device,1998-10-21,Yes,Game Boy Color,The Nintendo Game Boy Color is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,Game Boy Advance,,Nintendo Game Boy Advance,Nintendo Game Boy Advance,Handheld,Device,2001-06-11,Yes,Game Boy Advance,The Nintendo Game Boy Advance is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,Game Boy Advance,,Game Boy Advance SP,Nintendo Game Boy Advance SP,Handheld,Device,2003-02-14,Yes,Game Boy Advance,The Game Boy Advance SP is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,Game Boy Advance,,Game Boy Micro,Nintendo Game Boy Micro,Handheld,Device,2005-09-13,Yes,Game Boy Advance,The Game Boy Micro is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,Nintendo DS,,Nintendo DS,Nintendo DS,Handheld,Device,2004-11-21,Yes,Nintendo DS,The Nintendo DS is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,Nintendo DS,,Nintendo DS Lite,Nintendo DS Lite,Handheld,Device,2006-06-11,Yes,Nintendo DS,The Nintendo DS Lite is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,Nintendo DS,,Nintendo DSi,Nintendo DSi,Handheld,Device,2009-04-05,Yes,Nintendo DSi,The Nintendo DSi is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,Nintendo DS,,Nintendo DSi XL,Nintendo DSi XL,Handheld,Device,2010-03-28,Yes,Nintendo DSi,The Nintendo DSi XL is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,Nintendo 3DS,,Nintendo 3DS,Nintendo 3DS,Handheld,Device,2011-03-27,Yes,Nintendo 3DS,The Nintendo 3DS is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,Nintendo 3DS,,Nintendo 3DS XL,Nintendo 3DS XL,Handheld,Device,2012-08-19,Yes,Nintendo 3DS,The Nintendo 3DS XL is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,Nintendo 3DS,,New Nintendo 3DS,New Nintendo 3DS,Handheld,Device,2015-09-25,Yes,Nintendo 3DS,The New Nintendo 3DS is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,Nintendo 3DS,,New Nintendo 3DS XL,New Nintendo 3DS XL,Handheld,Device,2015-02-13,Yes,Nintendo 3DS,The New Nintendo 3DS XL is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,Nintendo 3DS,,Nintendo 2DS,Nintendo 2DS,Handheld,Device,2013-10-12,Yes,Nintendo 3DS,The Nintendo 2DS is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,Nintendo 3DS,,New Nintendo 2DS XL,New Nintendo 2DS XL,Handheld,Device,2017-07-28,Yes,Nintendo 3DS,The New Nintendo 2DS XL is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,NES,,NES Zapper,Nintendo NES Zapper,Light Gun,Accessory,1985-10-18,Yes,NES,The NES Zapper is an official Nintendo accessory designed to provide light-gun gameplay. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,NES,,R.O.B.,Nintendo R.O.B.,Robot,Accessory,1985-10-18,Yes,NES,The R.O.B. is an official Nintendo accessory designed to interact with compatible games. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,SNES,,Super Scope,Nintendo Super Scope,Light Gun,Accessory,1992-01-01,Yes,SNES,The Super Scope is an official Nintendo accessory designed to provide light-gun gameplay. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,Nintendo 64,,Rumble Pak,Nintendo Rumble Pak,Controller Accessory,Accessory,1997-04-27,Yes,Nintendo 64,The Rumble Pak is an official Nintendo accessory designed to add force feedback. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,Nintendo 64,,Transfer Pak,Nintendo Transfer Pak,Adapter,Accessory,1999-08-20,Yes,Nintendo 64,The Transfer Pak is an official Nintendo accessory designed to transfer Game Boy data. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,GameCube,,WaveBird,Nintendo WaveBird Wireless Controller,Controller,Accessory,2002-06-01,Yes,GameCube,The WaveBird is an official Nintendo accessory designed to provide wireless gameplay. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,GameCube,,Game Boy Player,Nintendo Game Boy Player,Adapter,Accessory,2003-06-20,Yes,GameCube,The Game Boy Player is an official Nintendo accessory designed to play Game Boy games on GameCube. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,GameCube,,DK Bongos,Nintendo DK Bongos,Controller,Accessory,2004-09-19,Yes,GameCube,The DK Bongos is an official Nintendo accessory designed to play rhythm games. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
