Brand,Family,Generation,Generation (Short),Artefact,Official Name,Category,Type,Release Date,Discontinued,Compatibility,Summary
Sega,Sega,Master System,SMS,Master System,Sega Master System,Console,Device,1985,Yes,Master System,The Sega Master System is an official Sega console that introduced new hardware capabilities and a library of first- and third-party titles. It remains an important part of Sega's gaming history.
Sega,Sega,Master System,SMS,Master System II,Sega Master System II,Console,Device,1990,Yes,Master System,The Sega Master System II is an official Sega console that introduced new hardware capabilities and a library of first- and third-party titles. It remains an important part of Sega's gaming history.
Sega,Sega,Mega Drive,MD,Mega Drive,Sega Mega Drive,Console,Device,1988-10-29,Yes,Mega Drive,The Sega Mega Drive is an official Sega console that introduced new hardware capabilities and a library of first- and third-party titles. It remains an important part of Sega's gaming history.
Sega,Sega,Mega Drive,MD,Mega Drive II,Sega Mega Drive II,Console,Device,1993,Yes,Mega Drive,The Sega Mega Drive II is an official Sega console that introduced new hardware capabilities and a library of first- and third-party titles. It remains an important part of Sega's gaming history.
Sega,Sega,Genesis,,Genesis,Sega Genesis,Console,Device,1989-08-14,Yes,Genesis,The Sega Genesis is an official Sega console that introduced new hardware capabilities and a library of first- and third-party titles. It remains an important part of Sega's gaming history.
Sega,Sega,Genesis,,Genesis 2,Sega Genesis 2,Console,Device,1993,Yes,Genesis,The Sega Genesis 2 is an official Sega console that introduced new hardware capabilities and a library of first- and third-party titles. It remains an important part of Sega's gaming history.
Sega,Sega,Genesis,,Genesis 3,Sega Genesis 3,Console,Device,1998,Yes,Genesis,The Sega Genesis 3 is an official Sega console that introduced new hardware capabilities and a library of first- and third-party titles. It remains an important part of Sega's gaming history.
Sega,Sega,Genesis,,Nomad,Sega Nomad,Handheld,Device,1995,Yes,Genesis,The Sega Nomad is an official Sega handheld gaming system designed to deliver portable Genesis gameplay. It combines dedicated gaming hardware with a library of first- and third-party titles.
Sega,Sega,Mega-CD,MCD,Mega-CD,Sega Mega-CD,Console,Device,1991-12-12,Yes,Mega Drive,The Sega Mega-CD is an official Sega add-on system designed to expand the Mega Drive's capabilities with CD-based gameplay. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Mega-CD,MCD,Mega-CD 2,Sega Mega-CD 2,Console,Device,1993,Yes,Mega Drive,The Sega Mega-CD 2 is an official Sega add-on system designed to expand the Mega Drive's capabilities with CD-based gameplay. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Sega CD,,Sega CD,Sega CD,Console,Device,1992-10-15,Yes,Genesis,The Sega CD is an official Sega add-on system designed to expand the Genesis's capabilities with CD-based gameplay. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Sega CD,,Sega CD 2,Sega CD 2,Console,Device,1993,Yes,Genesis,The Sega CD 2 is an official Sega add-on system designed to expand the Genesis's capabilities with CD-based gameplay. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,32X,,32X,Sega 32X,Console,Device,1994-11-21,Yes,"Genesis, Mega Drive",The Sega 32X is an official Sega add-on system designed to expand Genesis and Mega Drive consoles with enhanced 32-bit graphics. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Genesis,,CDX,Sega CDX,Console,Device,1994,Yes,"Genesis, Sega CD",The Sega CDX is an official Sega console that combines a Genesis and Sega CD into one portable unit. It remains an important part of Sega's gaming history.
Sega,Sega,Game Gear,GG,Game Gear,Sega Game Gear,Handheld,Device,1990-10-06,Yes,Game Gear,The Sega Game Gear is an official Sega handheld gaming system designed to deliver portable arcade-style gameplay. It combines dedicated gaming hardware with a library of first- and third-party titles.
Sega,Sega,Saturn,,Saturn,Sega Saturn,Console,Device,1994-11-22,Yes,Saturn,The Sega Saturn is an official Sega console that introduced new hardware capabilities and a library of first- and third-party titles. It remains an important part of Sega's gaming history.
