Brand,Family,Generation,Generation (Short),Artefact,Official Name,Category,Type,Release Date,Discontinued,Compatibility,Summary
Sony,PlayStation,PlayStation Vita,PS Vita,PlayStation Vita,Sony PlayStation Vita,Handheld,Device,2011,Yes,PlayStation Vita,The PlayStation Vita is an official Sony handheld gaming system designed to deliver a portable PlayStation experience. It combines dedicated gaming hardware with multimedia capabilities and access to a wide library of games.
Sony,PlayStation,PlayStation Vita,PS Vita,PlayStation Vita Game Card,Sony PlayStation Vita Game Card,Media,Accessory,2011,Yes,PlayStation Vita,The PlayStation Vita Game Card is an official PlayStation media accessory designed to enhance entertainment features such as movie playback and streaming. It provides dedicated controls and seamless integration with supported PlayStation consoles.
Sony,PlayStation,PlayStation Vita,PS Vita,PlayStation TV,Sony PlayStation TV,Microconsole,Device,2013,Yes,PlayStation Vita,The PlayStation TV is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation,PS1,PlayStation,Sony PlayStation,Console,Device,1994,Yes,PlayStation,The PlayStation is an official Sony PlayStation console that formed part of the PlayStation family. It introduced new hardware capabilities and a library of exclusive and third-party games while remaining one of the defining systems of its generation.
Sony,PlayStation,PlayStation,PS1,PlayStation Controller,Sony PlayStation Controller,Controller,Accessory,1994,Yes,PlayStation,The PlayStation Controller is an official PlayStation controller designed to provide responsive and comfortable gameplay. It introduced features appropriate to its generation while maintaining compatibility with supported PlayStation hardware.
Sony,PlayStation,PlayStation,PS1,PlayStation Game Disc,Sony PlayStation Game Disc,Media,Accessory,1994,Yes,PlayStation,The PlayStation Game Disc is an official PlayStation media accessory designed to enhance entertainment features such as movie playback and streaming. It provides dedicated controls and seamless integration with supported PlayStation consoles.
Sony,PlayStation,PlayStation,PS1,PlayStation Memory Card,Sony PlayStation Memory Card,Storage,Accessory,1994,Yes,PlayStation,The PlayStation Memory Card is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation,PS1,PlayStation Mouse,Sony PlayStation Mouse,Input,Accessory,1996,Yes,PlayStation,The PlayStation Mouse is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation,PS1,PlayStation Multitap,Sony PlayStation Multitap,Accessory,Accessory,1995,Yes,PlayStation,The PlayStation Multitap is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation,PS1,DualShock Controller,Sony DualShock Controller,Controller,Accessory,1997,Yes,PlayStation,The DualShock Controller is an official PlayStation controller designed to provide responsive and comfortable gameplay. It introduced features appropriate to its generation while maintaining compatibility with supported PlayStation hardware.
Sony,PlayStation,PlayStation,PS1,PocketStation,Sony PocketStation,Handheld,Device,1999,Yes,PlayStation,The PocketStation is an official Sony handheld gaming system designed to deliver a portable PlayStation experience. It combines dedicated gaming hardware with multimedia capabilities and access to a wide library of games.
Sony,PlayStation,PlayStation,PS1,PSone,Sony PSone,Console,Device,2000,Yes,PlayStation,The PSone is an official Sony PlayStation console that formed part of the PlayStation family. It introduced new hardware capabilities and a library of exclusive and third-party games while remaining one of the defining systems of its generation.
Sony,PlayStation,PlayStation,PS1,PSone LCD Monitor,Sony PSone LCD Monitor,Display,Accessory,2000,Yes,PlayStation,The PSone LCD Monitor is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation,PS1,PlayStation VR Headset,Sony PlayStation VR Headset,VR,Accessory,2016,Yes,PlayStation,The PlayStation VR Headset is an official PlayStation virtual reality accessory that delivers immersive gaming experiences through head tracking and dedicated controllers. It expands the PlayStation ecosystem with VR gameplay.
Sony,PlayStation,PlayStation,PS1,PlayStation VR Camera Adapter,Sony PlayStation VR Camera Adapter,Adapter,Accessory,2020,Yes,PlayStation,The PlayStation VR Camera Adapter is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation 2,PS2,PlayStation 2,Sony PlayStation 2,Console,Device,2000,Yes,PlayStation 2,The PlayStation 2 is an official Sony PlayStation console that formed part of the PlayStation family. It introduced new hardware capabilities and a library of exclusive and third-party games while remaining one of the defining systems of its generation.
Sony,PlayStation,PlayStation 2,PS2,PlayStation 2 Slim,Sony PlayStation 2 Slim,Console,Device,2004,Yes,PlayStation 2,The PlayStation 2 Slim is an official Sony PlayStation console that formed part of the PlayStation family. It introduced new hardware capabilities and a library of exclusive and third-party games while remaining one of the defining systems of its generation.
Sony,PlayStation,PlayStation 2,PS2,DualShock 2 Controller,Sony DualShock 2 Controller,Controller,Accessory,2000,Yes,PlayStation 2,The DualShock 2 Controller is an official PlayStation controller designed to provide responsive and comfortable gameplay. It introduced features appropriate to its generation while maintaining compatibility with supported PlayStation hardware.
Sony,PlayStation,PlayStation 2,PS2,PlayStation 2 Game Disc,Sony PlayStation 2 Game Disc,Media,Accessory,2000,Yes,PlayStation 2,The PlayStation 2 Game Disc is an official PlayStation media accessory designed to enhance entertainment features such as movie playback and streaming. It provides dedicated controls and seamless integration with supported PlayStation consoles.
Sony,PlayStation,PlayStation 2,PS2,PlayStation 2 Memory Card,Sony PlayStation 2 Memory Card,Storage,Accessory,2000,Yes,PlayStation 2,The PlayStation 2 Memory Card is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation 2,PS2,PlayStation 2 Multitap,Sony PlayStation 2 Multitap,Accessory,Accessory,2000,Yes,PlayStation 2,The PlayStation 2 Multitap is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation 2,PS2,EyeToy Camera,Sony EyeToy Camera,Camera,Accessory,2003,Yes,PlayStation 2,The EyeToy Camera is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation 2,PS2,Buzz Controller,Sony Buzz Controller,Controller,Accessory,2005,Yes,PlayStation 2,The Buzz Controller is an official PlayStation controller designed to provide responsive and comfortable gameplay. It introduced features appropriate to its generation while maintaining compatibility with supported PlayStation hardware.
Sony,PlayStation,PlayStation 2,PS2,SingStar Microphone,Sony SingStar Microphone,Audio,Accessory,2004,Yes,PlayStation 2,The SingStar Microphone is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation 2,PS2,PlayStation 2 Network Adaptor,Sony PlayStation 2 Network Adaptor,Networking,Accessory,2002,Yes,PlayStation 2,The PlayStation 2 Network Adaptor is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation 2,PS2,PlayStation Media Remote (PlayStation 2),Sony PlayStation Media Remote (PlayStation 2),Media,Accessory,2000,Yes,PlayStation 2,The PlayStation Media Remote (PlayStation 2) is an official PlayStation media accessory designed to enhance entertainment features such as movie playback and streaming. It provides dedicated controls and seamless integration with supported PlayStation consoles.
Sony,PlayStation,PlayStation 3,PS3,PlayStation 3,Sony PlayStation 3,Console,Device,2006,Yes,PlayStation 3,The PlayStation 3 is an official Sony PlayStation console that formed part of the PlayStation family. It introduced new hardware capabilities and a library of exclusive and third-party games while remaining one of the defining systems of its generation.
Sony,PlayStation,PlayStation 3,PS3,PlayStation 3 Game Disc,Sony PlayStation 3 Game Disc,Media,Accessory,2006,Yes,PlayStation 3,The PlayStation 3 Game Disc is an official PlayStation media accessory designed to enhance entertainment features such as movie playback and streaming. It provides dedicated controls and seamless integration with supported PlayStation consoles.
Sony,PlayStation,PlayStation 3,PS3,SIXAXIS Controller,Sony SIXAXIS Controller,Controller,Accessory,2006,Yes,PlayStation 3,The SIXAXIS Controller is an official PlayStation controller designed to provide responsive and comfortable gameplay. It introduced features appropriate to its generation while maintaining compatibility with supported PlayStation hardware.
Sony,PlayStation,PlayStation 3,PS3,PlayStation Eye Camera,Sony PlayStation Eye Camera,Camera,Accessory,2007,Yes,PlayStation 3,The PlayStation Eye Camera is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation 3,PS3,PlayStation Move Motion Controller,Sony PlayStation Move Motion Controller,Controller,Accessory,2010,Yes,PlayStation 3,The PlayStation Move Motion Controller is an official PlayStation controller designed to provide responsive and comfortable gameplay. It introduced features appropriate to its generation while maintaining compatibility with supported PlayStation hardware.
Sony,PlayStation,PlayStation 3,PS3,PlayStation Move Navigation Controller,Sony PlayStation Move Navigation Controller,Controller,Accessory,2010,Yes,PlayStation 3,The PlayStation Move Navigation Controller is an official PlayStation controller designed to provide responsive and comfortable gameplay. It introduced features appropriate to its generation while maintaining compatibility with supported PlayStation hardware.
Sony,PlayStation,PlayStation 3,PS3,PlayStation Move Sharp Shooter,Sony PlayStation Move Sharp Shooter,Accessory,Accessory,2011,Yes,PlayStation 3,The PlayStation Move Sharp Shooter is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation 3,PS3,PlayStation Move Shooting Attachment,Sony PlayStation Move Shooting Attachment,Accessory,Accessory,2010,Yes,PlayStation 3,The PlayStation Move Shooting Attachment is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation 3,PS3,PlayStation 3 Slim,Sony PlayStation 3 Slim,Console,Device,2009,Yes,PlayStation 3,The PlayStation 3 Slim is an official Sony PlayStation console that formed part of the PlayStation family. It introduced new hardware capabilities and a library of exclusive and third-party games while remaining one of the defining systems of its generation.
