Brand,Family,Base Hardware,Edition Name,Official Name,Region,Colour,Release Date,Limited Edition,Commercial Release,Summary
Sony,PlayStation,PlayStation 3,Original Piano Black,Sony PlayStation 3,Worldwide,Black,2006-11-11,No,Yes,"The Original Piano Black PlayStation 3 launched Sony's seventh-generation console with Blu-ray Disc support, HD gaming and online services. Its glossy finish became the signature look of the launch hardware."
Sony,PlayStation,PlayStation 3,Ceramic White,Sony PlayStation 3 Ceramic White,Japan,White,2007-11-11,No,Yes,"The Ceramic White PlayStation 3 was one of Sony's earliest official colour variants, offering the same hardware as the standard model in an elegant white finish."
Sony,PlayStation,PlayStation 3,Satin Silver,Sony PlayStation 3 Satin Silver,Japan,Silver,2007-03,No,Yes,The Satin Silver PlayStation 3 featured a premium metallic finish and became one of the most recognisable official PS3 colour variants.
Sony,PlayStation,PlayStation 3,PS3 Slim Charcoal Black,Sony PlayStation 3 Slim,Worldwide,Black,2009-09-01,No,Yes,"The PlayStation 3 Slim redesigned the original console with a smaller, quieter and more energy-efficient form factor while retaining full compatibility with the PS3 library."
Sony,PlayStation,PlayStation 3,PS3 Slim Classic White,Sony PlayStation 3 Slim Classic White,Worldwide,White,2010,No,Yes,The Classic White PS3 Slim brought a clean white finish to Sony's redesigned console and became a popular retail colour option.
Sony,PlayStation,PlayStation 3,PS3 Slim Satin Silver,Sony PlayStation 3 Slim Satin Silver,Japan,Silver,2010,No,Yes,The Satin Silver PS3 Slim offered the redesigned console in a premium metallic finish while maintaining identical hardware.
Sony,PlayStation,PlayStation 3,PS3 Slim Final Fantasy XIII Lightning Edition,Sony PlayStation 3 Slim Final Fantasy XIII Lightning Edition,Japan,White,2009,Yes,Yes,"Released to celebrate Final Fantasy XIII, the Lightning Edition featured exclusive artwork inspired by the game's protagonist and is one of the most sought-after PS3 limited editions."
Sony,PlayStation,PlayStation 3,PS3 Slim Tales of Xillia X Edition,Sony PlayStation 3 Slim Tales of Xillia X Edition,Japan,White,2011,Yes,Yes,This official limited edition console celebrated Tales of Xillia with exclusive artwork and matching packaging for fans of the series.
Sony,PlayStation,PlayStation 3,PS3 Slim Ni No Kuni Magical Edition,Sony PlayStation 3 Slim Ni No Kuni Magical Edition,Japan,Gold,2011,Yes,Yes,"Released alongside Ni No Kuni, the Magical Edition featured exclusive gold artwork and themed branding inspired by the game."
Sony,PlayStation,PlayStation 3,PS3 Super Slim Charcoal Black,Sony PlayStation 3 Super Slim,Worldwide,Black,2012-09-25,No,Yes,"The PlayStation 3 Super Slim was the final redesign of the PS3, introducing a sliding disc cover while further reducing size, weight and power consumption."
Sony,PlayStation,PlayStation 3,PS3 Super Slim Classic White,Sony PlayStation 3 Super Slim Classic White,Worldwide,White,2012,No,Yes,The Classic White PS3 Super Slim offered Sony's final PS3 hardware revision in a clean white finish.
Sony,PlayStation,PlayStation 3,PS3 Super Slim Azurite Blue,Sony PlayStation 3 Super Slim Azurite Blue,Worldwide,Blue,2013,No,Yes,"Azurite Blue was one of the best-known official colour variants of the PlayStation 3 Super Slim, offering a vibrant blue finish."
Sony,PlayStation,PlayStation 3,PS3 Super Slim Garnet Red,Sony PlayStation 3 Super Slim Garnet Red,Worldwide,Red,2013,No,Yes,The Garnet Red PlayStation 3 Super Slim featured a deep metallic red finish and was released in selected markets.
