Brand,Family,Base Hardware,Edition Name,Official Name,Region,Colour,Release Date,Limited Edition,Commercial Release,Summary
Sony,PlayStation,PlayStation Vita,Crystal Black,Sony PlayStation Vita (PCH-1000),Worldwide,Black,2011-12-17,No,Yes,"The Crystal Black PlayStation Vita was the launch model of Sony's second handheld console. It featured a 5-inch OLED display, dual analog sticks and powerful hardware designed to deliver console-quality gaming on the go."
Sony,PlayStation,PlayStation Vita,Crystal White,Sony PlayStation Vita Crystal White,Japan,White,2012-06-28,No,Yes,The Crystal White PlayStation Vita offered the original OLED model in a clean white finish while retaining identical hardware specifications.
Sony,PlayStation,PlayStation Vita,Cosmic Red,Sony PlayStation Vita Cosmic Red,Japan,Red,2012-11,No,Yes,The Cosmic Red PlayStation Vita featured a vibrant metallic red finish and became one of the most recognizable official colour variants.
Sony,PlayStation,PlayStation Vita,Sapphire Blue,Sony PlayStation Vita Sapphire Blue,Japan,Blue,2012-11,No,Yes,The Sapphire Blue PlayStation Vita introduced a striking blue colour option for Sony's OLED handheld.
Sony,PlayStation,PlayStation Vita,Ice Silver,Sony PlayStation Vita Ice Silver,Japan,Silver,2013,No,Yes,The Ice Silver PlayStation Vita featured a premium metallic finish and was released as an official retail colour.
Sony,PlayStation,PlayStation Vita,PCH-2000 Black,Sony PlayStation Vita (PCH-2000),Worldwide,Black,2013-10-10,No,Yes,"The PCH-2000 redesigned the PlayStation Vita with a slimmer, lighter body, an LCD display, improved battery life and a micro-USB charging port."
Sony,PlayStation,PlayStation Vita,PCH-2000 White,Sony PlayStation Vita (PCH-2000) White,Worldwide,White,2013-10-10,No,Yes,The White PCH-2000 offered the slimmer PlayStation Vita in a clean white finish while retaining the redesigned hardware.
Sony,PlayStation,PlayStation Vita,PCH-2000 Aqua Blue,Sony PlayStation Vita Aqua Blue,Worldwide,Aqua Blue,2013-10,No,Yes,Aqua Blue became one of the most popular colour variants of the slim PlayStation Vita.
Sony,PlayStation,PlayStation Vita,PCH-2000 Lime Green / White,Sony PlayStation Vita Lime Green / White,Japan,Green / White,2013-10,No,Yes,"This two-tone PlayStation Vita combined a lime green front with a white rear shell, offering one of the handheld's most distinctive retail finishes."
Sony,PlayStation,PlayStation Vita,PCH-2000 Pink / Black,Sony PlayStation Vita Pink / Black,Japan,Pink / Black,2013-10,No,Yes,The Pink / Black PlayStation Vita paired contrasting colours in an eye-catching official retail design.
Sony,PlayStation,PlayStation Vita,PCH-2000 Borderlands 2 Limited Edition,Sony PlayStation Vita Borderlands 2 Limited Edition,North America,Black,2014-05-06,Yes,Yes,"Released alongside Borderlands 2 for PlayStation Vita, this official bundle included a PS Vita system, game and themed packaging for fans of the series."
Sony,PlayStation,PlayStation Vita,PCH-2000 Dragon Quest Metal Slime Edition,Sony PlayStation Vita Dragon Quest Metal Slime Edition,Japan,Silver,2016,Yes,Yes,"This limited edition PlayStation Vita celebrated Dragon Quest with exclusive Metal Slime artwork and themed branding, making it a highly collectible official release."
